Sample	D-Glucose 6-phosphate	DL-Isocitric acid	D-Fructose 6-phosphate	D-Fructose 1,6-bisphosphate	α-Ketoglutaric acid	Pyruvate	L-(−)-Malic acid	Fumaric acid	Citric acid	Succinate	D-(−)-3-Phosphoglyceric acid	cis-Aconitic acid	D-Glutamine	L-Glutamic acid
Naive_1	0.0	11.5	4.3	6.2	19.0	96.9	13.5	15.1	15.7	38.7	6.2	5.7	9.9	0.7
Naive_2	0.9	12.9	4.3	6.6	16.9	96.3	14.0	14.8	17.3	40.9	5.8	5.5	9.5	1.1
Naive_3	0.0	12.7	0.0	5.8	26.0	148.1	16.2	13.8	17.8	40.9	6.2	5.7	9.5	1.4
Naive_4	0.9	17.2	4.6	6.0	31.9	184.2	20.3	14.9	24.5	60.1	6.2	6.5	9.4	0.9
Naive_5	0.9	12.6	0.0	6.2	32.9	208.5	18.1	13.4	18.2	40.7	6.4	4.9	9.6	0.9
Naive_6	0.8	12.7	0.0	6.5	25.7	148.4	15.5	17.0	17.3	41.4	5.7	5.4	9.7	0.9
Naive_7	0.9	12.7	0.0	6.7	19.5	148.6	15.0	12.4	17.4	36.1	6.5	5.2	9.7	1.0
Diabetes_7d_1	1.2	21.4	4.6	5.8	10.5	115.9	17.9	17.0	31.0	49.0	5.2	10.2	16.0	2.5
Diabetes_7d_2	1.6	35.4	4.3	6.3	21.2	208.7	20.9	17.4	50.9	68.3	5.6	10.8	12.1	2.5
Diabetes_7d_3	1.8	38.1	4.6	6.7	13.7	131.9	19.7	16.4	62.1	80.7	6.3	10.8	16.1	2.5
Diabetes_7d_4	1.6	36.3	4.9	6.3	10.3	45.6	17.8	17.1	55.8	41.5	5.7	11.1	13.3	2.6
Diabetes_7d_5	1.9	39.2	4.9	6.4	14.1	87.7	22.5	15.0	63.7	72.5	6.4	12.6	13.6	3.0
Diabetes_14d_1	1.0	31.6	4.4	6.4	17.0	64.3	21.0	17.2	46.0	49.6	5.5	8.9	12.3	4.4
Diabetes_14d_2	1.6	46.5	4.6	6.3	17.5	89.0	19.5	18.5	77.0	99.1	5.6	11.8	11.9	2.9
Diabetes_14d_3	1.4	33.4	4.6	6.3	16.5	54.2	20.6	14.4	49.3	101.3	6.4	10.6	10.0	3.5
Diabetes_14d_4	0.9	25.3	0.0	6.7	12.3	84.7	14.5	20.1	35.4	51.0	5.7	7.2	10.2	3.7
Diabetes_14d_5	1.2	30.9	4.6	6.2	22.7	64.7	21.8	16.5	44.1	71.4	5.4	7.9	11.6	3.8
Diabetes_14d_6	1.0	35.0	0.0	6.0	22.5	38.4	25.8	21.6	49.5	86.6	5.6	8.4	11.6	6.0
Diabetes_14d_7	1.7	46.8	5.3	6.2	12.3	28.8	22.0	22.7	75.9	70.9	5.4	12.8	11.7	3.7
Diabetes_21d_1	1.3	48.6	4.5	6.1	27.5	61.2	19.2	17.9	73.2	66.4	6.3	9.9	10.5	2.6
Diabetes_21d_2	1.9	60.7	5.2	5.8	31.4	80.0	28.9	22.2	85.6	63.0	7.1	11.3	9.2	5.2
Diabetes_21d_3	1.1	45.6	4.5	6.1	31.2	91.2	26.6	22.5	65.5	53.2	5.4	10.7	9.9	3.4
Diabetes_21d_4	1.4	55.8	4.6	6.1	52.3	126.2	42.8	22.4	80.8	91.5	5.9	11.5	9.5	3.4
Diabetes_21d_5	1.0	42.9	4.6	6.2	27.2	128.7	26.8	19.5	61.1	62.0	8.2	10.5	9.4	2.9
Diabetes_21d_6	1.9	60.4	5.2	6.1	31.2	95.5	36.3	22.8	91.4	101.9	6.9	13.7	11.0	3.9
Diabetes_21d_7	1.1	45.1	4.4	6.4	27.4	118.7	28.6	21.3	65.5	70.0	6.4	9.3	12.3	3.2
Diabetes_28d_1	0.0	12.7	4.3	6.1	48.0	196.1	29.2	31.7	16.3	54.6	6.2	6.6	9.6	5.1
Diabetes_28d_2	0.0	25.3	4.5	6.0	30.5	61.7	25.2	30.7	37.6	43.6	8.0	8.5	9.0	4.7
Diabetes_28d_3	1.4	46.4	4.3	6.4	29.6	115.9	30.6	33.0	66.1	39.9	6.1	11.8	10.2	4.0
Diabetes_28d_4	1.4	46.5	4.3	6.6	18.7	117.9	31.4	28.5	66.3	57.8	6.3	10.6	10.8	5.5
Diabetes_28d_5	1.2	57.4	4.6	5.9	29.1	111.3	32.0	28.1	82.5	59.1	7.3	14.7	10.8	4.9
Diabetes_28d_6	1.3	44.3	0.0	6.3	12.9	56.6	21.8	14.6	62.9	43.5	7.8	10.6	8.8	5.0
Diabetes_28d_7	1.5	57.9	0.0	6.5	11.0	61.9	20.0	26.5	82.7	23.9	8.0	11.8	9.5	4.1
